FName,mo_inv1,mo_inv2,mo_inv3,mo_inv4,mo_inv5,mo_inv6,mo_inv7,icz1,icz2,icz3,icz4,icz5,icz6,icz7,icz8,icz9,icz10,icz11,icz12,icz13,icz14,icz15,icz16,icz17,icz18,icz19,icz20,icz21,icz22,icz23,icz24,icz25,icz26,icz27,icz28,icz29,icz30,icz31,icz32,icz33,icz34,icz35,icz36,icz37,icz38,icz39,icz40,icz41,icz42,icz43,icz44,icz45,icz46,icz47,icz48,icz49,icz50,icz51,icz52,icz53,icz54,icz55,icz56,icz57,icz58,icz59,icz60,icz61,icz62,icz63,icz64,icz65,icz66,icz67,icz68,icz69,icz70,icz71,icz72,icz73,icz74,icz75,icz76,icz77,icz78,icz79,icz80,icz81,zcz1,zcz2,zcz3,zcz4,zcz5,zcz6,zcz7,zcz8,zcz9,zcz10,zcz11,zcz12,zcz13,zcz14,zcz15,zcz16,zcz17,zcz18,zcz19,zcz20,zcz21,zcz22,zcz23,zcz24,zcz25,zcz26,zcz27,zcz28,zcz29,zcz30,zcz31,zcz32,zcz33,zcz34,zcz35,zcz36,zcz37,zcz38,zcz39,zcz40,zcz41,zcz42,zcz43,zcz44,zcz45,zcz46,zcz47,zcz48,zcz49,zcz50,zcz51,zcz52,zcz53,zcz54,zcz55,zcz56,zcz57,zcz58,zcz59,zcz60,zcz61,zcz62,zcz63,zcz64,zcz65,zcz66,zcz67,zcz68,zcz69,zcz70,zcz71,zcz72,zcz73,zcz74,zcz75,zcz76,zcz77,zcz78,zcz79,zcz80,zcz81,label
adeg-01.png,-0.3003087292089547,-0.267820984599766,-0.5606330315090795,0.2310309568447236,-0.5915828601871796,-0.4669002148499822,-0.08646604771242543,30.38890753594882,26.356633311961993,20.77588721151008,15.742002158137645,12.06285394890362,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.071905551102013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.23076924250988,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.998373962292332,9.590697166232523,14.935375408441933,18.695555167708598,22.241120317667768,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.502830937439526,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.23076924250988,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,adeg
adeg-02.png,-0.339178537948163,-0.33421517379386384,-0.7077613689040986,0.1898451156904157,0.06821715217831896,-0.028984128580952274,1.1235921552199493,33.051712282775654,29.141544906669942,23.941627732610865,20.15675203236619,13.457857517950483,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.176545708188046,17.316205703048304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.379075407787305,32.012635152816,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.8191205657352865,7.782877438420208,14.25997871785749,16.998860209404352,18.693188112455804,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26.15397149183713,25.298127009258184,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.11728302083279,32.012635152816,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,adeg
adeg-03.png,-0.25272120803775266,-0.1780825387791484,-0.3571470818475353,0.4524204638849407,-0.6022714781843419,-0.5092690010912283,-0.712784544618746,29.74752150175365,27.707716768892702,21.97909938199198,14.758518990983172,10.781172284096977,1.0,1.0,1.0,1.0,28.40269664513885,1.0,1.0,1.0,14.76348464147219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.417486977869736,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0468082590838295,9.4779030519507,14.542644575653275,14.983276064477403,20.03261875711072,1.0,1.0,1.0,1.0,22.481313420961516,1.0,1.0,1.0,21.708850719210123,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.417486977869736,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,adeg
adeg-04.png,-0.2589296751305248,-0.04957493343359196,-0.4515941715592363,0.25963349711393086,-0.527046661546971,-0.44838646626856576,-0.20876591216111134,32.5576355090925,28.584560632712975,24.21543261249689,20.947523111433682,17.424249251191938,14.87399579814203,16.330782176238085,1.0,1.0,34.36755519076755,1.0,1.0,1.0,1.0,1.0,19.44157048987163,25.859791989228235,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.08467819774123,39.431363319014984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.9618593366533097,6.7403928635863375,11.797553951771338,17.216297638712106,19.791423391369598,21.36229773065825,24.927038746810034,1.0,1.0,27.520967396563147,1.0,1.0,1.0,1.0,1.0,30.396134229947577,32.47658112620349,1.0,1.0,1.0,1.0,1.0,1.0,1.0,52.963820769659165,39.431363319014984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,adeg
adeg-05.png,-0.26128897774892823,-0.001654094822530796,-0.4084882664190797,0.3927897794519669,-0.3987817405348117,-0.41564269382355556,-0.9896145930666116,33.33509237984719,30.545870719965983,27.46395297591343,23.699759381897525,21.10269431569222,18.299156949946916,16.265174841308852,16.001716412847372,1.0,34.2167432013293,1.0,1.0,1.0,1.0,1.0,1.0,20.558615885454532,27.43937212771461,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.623014146076194,33.57228588135476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.825401294791912,6.860966275020865,11.471006055812554,15.979416349406945,20.015533350099652,21.2403625260501,22.433950580042914,25.5313448493574,1.0,27.42304170151414,1.0,1.0,1.0,1.0,1.0,1.0,27.84500097398711,35.06420226602996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38.60438253563797,33.57228588135476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,adeg
adeg-06.png,-0.2313771868920587,0.16298683082062093,-0.28713078227929845,0.4150332740810775,-0.6418531839745317,-0.5696742189706003,-0.6178109902880085,33.07762677291182,28.37115337260422,24.094140604770814,21.705179066191583,20.79765502410246,20.574175654049547,21.072473757214315,22.437034559482218,25.835052676453003,37.54350027618944,30.755112483946597,1.0,1.0,1.0,1.0,1.0,23.905311138654817,30.371793742510913,40.11585650549819,1.0,1.0,1.0,1.0,1.0,1.0,1.0,43.248528781402385,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1896948002615013,3.2286044882079925,6.5284574836838045,11.827859627379308,16.532994285206833,20.310778861296896,23.193417276915078,25.51552844581524,30.786993844263876,30.538343268709188,21.02850627609003,1.0,1.0,1.0,1.0,1.0,35.79535562433037,35.60199785870069,39.006861854954664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,43.248528781402385,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,adeg
adeg-07.png,-0.27209867350837297,0.057842461201201144,-0.2844949034844151,0.45080676016021737,-0.6683556482640222,-0.5414861573638953,-0.7018933903704986,33.02502118694688,30.00181891845004,26.45583414183796,23.739421005222866,21.493357148770986,20.455100843235883,19.81996437413341,20.343937334003282,22.0969140615404,34.55582926391207,31.693954274446575,1.0,1.0,1.0,1.0,1.0,1.0,26.217870664162746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.063115953968655,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.3443627013379147,5.374740338238536,10.161413406469809,14.449868528507658,19.385601416345335,23.25347434691159,24.960029844920907,27.52524693024307,29.286154385904805,28.25117945012897,28.863612708027986,1.0,1.0,1.0,1.0,1.0,1.0,32.29461519030361,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.063115953968655,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,adeg
adeg-08.png,-0.23207660226544652,0.022397000512644486,-0.296812585118954,0.5255479178043798,-0.6420020442815185,-0.5467878243682901,-1.6496300911350297,33.32355378589913,29.964217858261495,27.51384214285838,22.638169966079886,19.61006729116934,15.8787250809099,16.31121699560055,1.0,1.0,34.79660718002789,1.0,1.0,1.0,1.0,1.0,20.030116260777394,22.98892610752901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34.99810038542822,36.089433186551766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.4626576072607476,6.62760419739789,12.094469283293291,16.599076132934645,19.514729568160195,21.89058368249086,24.827582111900053,1.0,1.0,26.807362741173257,1.0,1.0,1.0,1.0,1.0,30.275840863648092,30.308061917341508,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38.76249723664345,36.089433186551766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,adeg
adeg-09.png,-0.26863162537238966,-0.061763546479474817,-0.21521852306176714,0.5636128301371498,-0.7736274629046788,-0.57902297549259,-1.1468022640712228,35.86284373554692,31.386370524897718,27.547747300476765,23.349040467369075,20.09098005331675,19.14172008643212,20.295637985621493,1.0,1.0,36.7871143278475,1.0,1.0,1.0,1.0,1.0,22.862261908299875,29.045954540198718,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41.42339212962284,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.222816985293317,7.216261994217215,12.921654645601583,19.477963896742402,22.306531539539204,25.95401101665934,28.91643880949339,1.0,1.0,27.842288599691113,1.0,1.0,1.0,1.0,1.0,36.723548922429536,37.24796364768199,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41.42339212962284,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,adeg
adeg-10.png,-0.3864488371352906,-0.46058364086552084,-0.8502823517966768,-0.02610325459462351,0.30695197572881416,0.17954990737032064,-0.32040190787329453,46.6432555706315,39.85678932684385,32.94932911512903,28.285018562615985,22.71368608984738,18.29707778014809,14.884887917679189,17.49609605061935,20.65965982207693,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.68320530537446,26.722911149494987,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,42.075968425357104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.8315190931888554,5.376904456929882,10.51768337389339,16.14222258840286,21.96281615065507,25.733351806400414,27.26604684330054,31.715093612705648,36.504404628237666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.85394584940395,34.05817956806105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,42.075968425357104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,adeg
